FREQ NFREQ=66 ORDER=DEC,ZROT,ZXXR ROT=ZROT,ZXXI ROT=ZROT,ZXX.VAR ROT=ZROT,ZXYR ROT=ZROT,ZXYI ROT=ZROT,ZXY.VAR ROT=ZROT,ZYXR ROT=ZROT,ZYXI ROT=ZROT,ZYX.VAR ROT=ZROT,ZYYR ROT=ZROT,ZYYI ROT=ZROT,ZYY.VAR ROT=ZROT,RHOXY ROT=NONE,RHOXY.ERR ROT=NONE,PHSXY ROT=NONE,PHSXY.ERR ROT=NONE,RHOYX ROT=NONE,RHOYX.ERR ROT=NONE,PHSYX ROT=NONE,PHSYX.ERR ROT=NONE,TXR.EXP ROT=ZROT,TXI.EXP ROT=ZROT,TXVAR.EXP ROT=ZROT,TYR.EXP ROT=ZROT,TYI.EXP ROT=ZROT,TYVAR.EXP ROT=ZROT
0.996094,0.0,-6.40116,-2.30135,0.000449835,11.1773,10.6262,0.00106871,-33.3342,-18.3949,0.0056883,9.80562,13.7897,0.0135142,47.7562,0.00184117,43.552,0.121452,291.045,0.00172064,-151.109,0.113501,0.0654833,0.00794849,0.000110337,-0.20642,-0.0383,0.000262138
0.761719,0.0,-5.86272,-2.56336,0.000494149,10.002,9.03138,0.00122599,-30.2579,-17.368,0.00462691,7.28558,12.4287,0.0114794,47.6831,0.0022568,42.0807,0.148868,319.59,0.00169348,-150.144,0.111709,0.0892252,-0.0262868,0.000134228,-0.213938,-0.00937297,0.000333023
0.585938,0.0,-5.25459,-2.68421,0.000645367,9.1097,8.30757,0.00168735,-27.4947,-16.246,0.00727315,5.05844,11.769,0.0190161,51.8835,0.00289396,42.3632,0.190898,348.124,0.00231952,-149.422,0.153006,0.0616198,-0.0332462,0.000280331,-0.217928,-0.00374236,0.000732942
0.454102,0.0,-4.64854,-2.71493,0.000955222,8.23456,7.80449,0.00297807,-24.6191,-14.9238,0.00910249,2.80753,10.8512,0.0283786,56.6912,0.00417794,43.464,0.275596,365.037,0.00287849,-148.776,0.189877,0.0931863,-0.00943532,0.000446113,-0.242548,-0.00521533,0.00139084
0.351562,0.0,-4.006,-2.6917,0.00111086,7.27999,7.37952,0.00365735,-22.1466,-13.889,0.00986444,1.06744,9.80346,0.0324773,61.1303,0.00506737,45.389,0.334267,388.764,0.00330005,-147.906,0.217686,0.0347227,-0.0493504,0.000606614,-0.268794,-0.0123032,0.00199719
0.27832,0.0,-3.45229,-2.51702,0.00488701,6.62918,6.92491,0.017125,-19.7785,-12.7933,0.0186919,-0.781125,8.25798,0.0655001,66.0393,0.0118569,46.2499,0.782156,398.721,0.00504138,-147.104,0.332552,0.119638,-0.0223963,0.00103522,-0.29459,0.0140724,0.00362761
0.219727,0.0,-2.83413,-2.27416,0.0047649,5.61265,6.35548,0.0170672,-17.7336,-11.5669,0.0176389,-1.75949,6.69235,0.0631799,65.4395,0.0133829,48.5516,0.882825,408.029,0.00544851,-146.885,0.359409,0.116447,-0.0454857,0.00123028,-0.296627,-0.131818,0.0044067
0.175781,0.0,-2.41366,-2.1808,0.00256095,4.29532,6.04941,0.0105705,-16.2954,-10.9303,0.0176477,-2.6855,5.6052,0.0728422,62.6291,0.0120366,54.6238,0.794009,438.058,0.0058806,-146.148,0.387912,0.121458,0.0545444,0.00203859,-0.229072,-0.221967,0.00841443
0.146484,0.0,-2.06305,-2.03012,0.00286975,3.57894,5.58316,0.0121739,-15.0235,-10.4512,0.0167281,-2.96804,4.37392,0.0709633,60.0481,0.0144511,57.3391,0.953296,457.296,0.00613845,-145.175,0.404921,0.13922,0.0245142,0.00214541,-0.206087,-0.165218,0.00910115
0.113525,0.0,-1.67261,-1.58924,0.00583158,2.79094,4.54333,0.0220757,-13.5089,-9.29798,0.0251628,-3.15475,2.66911,0.0952547,50.0879,0.0242033,58.4378,1.59675,473.803,0.00840162,-145.461,0.554215,0.0183455,0.0974045,0.00350176,-0.0954447,-0.138119,0.013256
0.0878906,0.0,-1.27061,-1.18448,0.00855021,1.72501,3.42723,0.0298364,-11.1469,-8.36858,0.0433142,-3.55207,2.28496,0.151147,33.4997,0.0391031,63.2828,2.58027,442.11,0.012969,-143.102,0.855525,-0.278365,0.269204,0.00576977,0.218483,-0.0441858,0.0201339
0.0695801,0.0,-0.310471,-0.382899,0.00561616,1.6726,2.23784,0.0453856,-3.21693,-2.57105,0.0581702,-3.07515,-4.1059,0.470088,22.4361,0.0662327,53.2249,4.37323,48.7467,0.0508703,-141.367,3.35754,-1.27875,0.595047,0.00429088,1.0478,0.213928,0.0346757
