DEPTH,AC,CAL,CNL,DEN,GR,RT,RXO,SP
1661.5,63.53,10.265,10.18,2.208,168.922,78.43,72.139,379.773
1661.625,63.703,10.62,9.915,2.182,152.141,74.195,67.197,378.336
1661.75,63.874,10.499,9.845,2.201,144.267,76.032,68.383,377.921
1661.875,64.175,10.057,9.67,2.265,138.1,84.338,75.502,378.236
1662.0,64.345,9.786,9.488,2.317,135.857,92.18,82.529,378.923
1662.125,64.38,9.707,9.318,2.355,132.837,98.226,88.12,379.451
1662.25,64.305,9.691,9.123,2.377,126.263,101.384,91.043,379.371
1662.375,64.219,9.712,8.991,2.365,120.725,99.2,88.829,378.701
1662.5,64.119,9.844,8.88,2.311,109.791,91.893,81.058,377.089
1662.625,64.111,9.963,9.057,2.289,104.465,88.886,77.277,376.603
1662.75,64.087,10.054,9.614,2.301,100.818,89.626,75.993,376.854
1662.875,64.017,10.032,10.254,2.346,101.009,95.303,78.836,377.739
1663.0,63.898,9.928,10.618,2.402,104.467,104.029,84.892,378.52
1663.125,63.712,9.809,10.801,2.466,109.257,117.081,94.836,378.869
1663.25,63.477,9.716,10.758,2.533,113.938,132.338,107.152,378.593
1663.375,63.394,9.71,10.485,2.55,115.177,136.161,110.748,378.056
1663.5,63.424,9.785,9.63,2.537,114.646,129.691,106.482,377.627
1663.625,63.545,9.867,9.194,2.515,113.382,121.246,99.823,378.155
1663.75,63.8,9.953,9.068,2.478,112.239,109.655,90.255,379.504
1663.875,64.117,9.992,9.27,2.437,112.115,99.849,81.985,380.79
1664.0,64.374,9.996,9.469,2.403,112.699,94.746,77.629,381.225
1664.125,64.912,10.038,9.439,2.354,113.488,88.496,72.422,381.104
1664.25,65.23,10.019,9.352,2.347,115.09,85.945,70.434,380.984
1664.375,65.718,9.847,9.411,2.373,120.452,81.974,67.471,381.387
1664.5,66.076,9.696,9.624,2.405,123.754,78.677,64.985,382.287
1664.625,66.334,9.641,9.944,2.43,123.375,75.572,62.585,383.697
1664.75,66.679,9.678,10.365,2.446,119.771,71.097,59.062,385.715
1664.875,66.992,9.743,10.588,2.447,116.091,66.716,55.58,387.307
1665.0,67.212,9.779,10.5,2.432,114.388,63.741,53.216,387.913
1665.125,67.574,9.798,10.437,2.39,111.127,58.212,48.931,388.157
1665.25,67.746,9.752,10.773,2.376,108.655,54.704,46.227,388.049
1665.375,67.941,9.536,11.834,2.399,104.092,48.541,41.358,387.911
1665.5,68.022,9.313,12.685,2.44,100.609,44.052,37.721,388.039
1665.625,68.041,9.109,13.269,2.483,98.144,40.618,34.835,388.988
1665.75,68.044,8.909,13.679,2.527,96.798,37.451,32.109,390.836
1665.875,68.064,8.813,13.672,2.546,97.357,36.534,31.289,392.273
1666.0,68.171,8.643,13.459,2.577,98.724,36.223,30.972,394.699
1666.125,68.258,8.566,13.444,2.585,98.6,36.488,31.181,395.726
1666.25,68.343,8.514,13.543,2.586,97.716,36.853,31.475,396.223
1666.375,68.441,8.49,13.625,2.577,95.616,37.469,31.952,395.858
1666.5,68.501,8.488,13.466,2.568,94.918,37.895,32.262,395.169
1666.625,68.557,8.482,13.161,2.562,97.421,38.256,32.49,394.455
1666.75,68.658,8.466,12.901,2.561,102.896,38.731,32.772,394.167
1666.875,68.73,8.451,12.856,2.561,105.765,39.099,33.004,394.397
1667.0,68.791,8.429,12.67,2.563,105.668,40.068,33.667,395.15
1667.125,68.72,8.424,12.437,2.564,103.547,40.813,34.202,395.229
1667.25,68.443,8.421,12.11,2.569,101.545,42.005,35.089,394.855
1667.375,68.021,8.419,11.894,2.576,100.991,43.235,36.02,394.253
1667.5,67.64,8.416,11.944,2.583,101.735,44.137,36.697,393.686
1667.625,66.889,8.419,12.506,2.591,103.653,46.216,38.18,393.123
1667.75,66.482,8.439,12.873,2.589,104.703,47.946,39.403,392.955
1667.875,66.09,8.489,13.073,2.581,105.498,50.247,41.054,392.619
1668.0,65.415,8.696,12.638,2.572,105.351,55.91,45.234,390.778
1668.125,65.07,8.863,12.061,2.575,104.681,59.65,48.088,389.111
1668.25,64.628,9.062,11.31,2.567,103.39,64.783,52.12,386.532
1668.375,64.268,9.191,10.697,2.543,102.216,69.503,55.89,384.118
1668.5,64.078,9.21,10.357,2.523,102.074,72.414,58.241,382.714
1668.625,63.877,9.198,9.774,2.528,103.429,77.347,62.249,381.044
1668.75,63.818,9.237,9.477,2.545,103.784,80.275,64.697,380.472
1668.875,63.809,9.381,9.107,2.555,102.126,85.332,69.147,379.805
1669.0,63.861,9.48,8.897,2.551,100.199,89.202,72.7,379.502
1669.125,63.977,9.516,8.867,2.545,98.688,92.816,76.253,379.348
1669.25,64.13,9.546,9.136,2.531,97.323,96.819,80.465,379.051
1669.375,64.178,9.595,9.55,2.507,96.677,98.118,82.141,378.624
1669.5,64.177,9.665,9.965,2.469,96.603,98.44,82.959,377.941
1669.625,64.075,9.746,10.238,2.4,99.909,97.813,83.193,375.696
1669.75,64.005,9.758,10.263,2.387,103.398,97.911,83.581,374.097
1669.875,63.873,9.778,10.552,2.416,108.28,99.73,85.495,371.603
1670.0,63.708,9.805,10.776,2.45,109.41,102.043,87.752,370.079
1670.125,63.392,9.856,10.583,2.459,105.661,105.261,90.927,369.381
1670.25,62.787,9.945,10.075,2.432,97.751,110.032,95.674,369.193
1670.375,62.345,9.983,9.953,2.4,93.199,113.575,99.074,369.45
1670.5,61.643,9.901,10.258,2.364,90.841,122.586,107.238,369.643
1670.625,61.376,9.75,10.452,2.376,92.925,129.587,113.54,369.246
1670.75,61.163,9.497,10.502,2.434,96.461,139.903,123.217,368.379
1670.875,61.017,9.267,10.439,2.511,98.74,148.622,131.814,367.471
1671.0,60.958,9.159,10.329,2.569,98.573,151.698,135.276,367.18
1671.125,60.934,9.134,10.126,2.607,97.083,151.191,135.241,367.604
1671.25,60.977,9.212,9.84,2.612,95.234,148.317,132.5,368.651
1671.375,61.073,9.32,9.721,2.581,95.067,147.196,130.958,369.242
1671.5,61.323,9.534,9.682,2.502,96.446,149.102,131.632,369.242
1671.625,61.452,9.636,9.772,2.466,97.017,152.149,133.923,368.676
1671.75,61.567,9.732,10.069,2.435,96.771,158.294,139.046,367.645
1671.875,61.621,9.772,10.435,2.422,96.542,165.63,145.489,366.972
1672.0,61.618,9.75,10.611,2.423,97.068,171.33,150.81,367.179
1672.125,61.579,9.717,10.53,2.439,98.547,178.739,158.426,368.515
1672.25,61.563,9.742,10.464,2.45,98.203,179.766,160.029,369.377
1672.375,61.557,9.81,10.443,2.458,96.63,178.364,159.434,370.0
1672.5,61.571,10.072,10.193,2.466,92.903,171.639,154.4,370.117
1672.625,61.581,10.254,9.887,2.467,91.751,167.397,151.002,369.523
1672.75,61.588,10.395,9.686,2.469,90.641,162.436,146.927,368.337
1672.875,61.59,10.424,9.819,2.47,88.767,158.191,143.351,367.232
1673.0,61.59,10.407,10.144,2.469,86.41,155.519,141.011,366.682
1673.125,61.584,10.58,10.52,2.446,82.865,151.144,136.894,366.821
1673.25,61.576,10.749,10.464,2.415,82.209,149.628,135.119,367.471
1673.375,61.568,10.832,10.106,2.361,83.206,151.504,135.439,369.332
1673.5,61.581,10.685,9.897,2.337,84.606,156.751,138.709,370.779
1673.625,61.639,10.32,9.966,2.357,85.991,168.795,147.578,371.502
1673.75,61.785,9.844,10.224,2.412,87.815,191.29,164.915,371.67
1673.875,61.924,9.667,10.411,2.444,89.396,208.805,178.919,371.413
1674.0,62.1,9.584,10.615,2.462,91.274,225.433,192.431,371.216
1674.125,62.458,9.62,11.278,2.449,94.082,238.585,203.141,371.733
1674.25,62.663,9.722,11.785,2.424,94.408,232.844,198.28,372.366
1674.375,62.985,9.968,12.318,2.376,92.582,207.716,177.448,373.483
1674.5,63.205,10.139,12.276,2.348,90.148,184.851,158.663,373.914
1674.625,63.399,10.191,11.591,2.34,87.895,164.368,142.113,373.769
1674.75,63.603,10.136,10.6,2.347,87.005,143.118,125.42,373.512
1674.875,63.7,10.027,10.332,2.362,88.117,133.654,118.506,373.757
1675.0,63.846,9.735,10.507,2.424,90.797,116.966,106.408,375.355
1675.125,63.93,9.557,10.626,2.476,92.513,106.306,97.983,376.7
1675.25,64.083,9.36,10.674,2.537,95.356,92.226,85.923,378.562
1675.375,64.247,9.241,10.763,2.563,97.977,80.769,75.525,379.893
1675.5,64.365,9.255,10.935,2.531,98.966,76.025,70.77,380.219
1675.625,64.456,9.458,11.132,2.432,98.285,74.254,68.432,380.212
1675.75,64.514,9.973,11.135,2.271,95.699,75.024,68.123,380.21
1675.875,64.497,10.425,10.801,2.186,93.363,76.975,69.318,380.606
1676.0,64.382,11.023,9.862,2.11,90.189,81.194,72.291,382.334
1676.125,64.259,11.019,9.504,2.119,89.691,83.376,73.902,383.529
1676.25,64.022,10.65,9.617,2.192,90.659,85.449,75.395,384.771
1676.375,63.745,10.189,10.119,2.3,93.073,86.486,76.039,385.515
1676.5,63.559,9.943,10.533,2.395,96.189,86.368,75.802,385.741
1676.625,63.424,9.782,10.6,2.536,102.288,85.892,75.235,386.078
1676.75,63.51,9.742,10.387,2.569,104.621,85.969,75.195,386.55
1676.875,63.882,9.706,10.131,2.539,106.524,86.357,75.227,387.358
1677.0,64.249,9.78,9.99,2.485,106.907,86.335,74.933,387.567
1677.125,64.557,9.991,9.827,2.434,105.266,85.505,73.983,386.972
1677.25,64.942,10.295,9.655,2.396,99.221,83.046,71.493,385.864
1677.375,65.265,10.475,9.635,2.394,91.584,80.122,68.518,384.878
1677.5,65.463,10.449,9.749,2.419,86.676,78.394,66.646,384.432
1677.625,65.706,10.294,9.919,2.473,82.652,77.914,65.722,384.114
1677.75,65.748,10.213,10.01,2.485,81.589,79.072,66.608,383.9
1677.875,65.627,10.013,10.126,2.47,80.813,82.306,69.457,383.26
1678.0,65.452,9.818,10.04,2.453,81.716,84.95,71.9,382.551
1678.125,65.261,9.668,9.783,2.456,84.668,87.078,74.016,381.905
1678.25,65.088,9.594,9.6,2.48,88.272,89.084,76.156,381.386
1678.375,65.059,9.619,9.76,2.497,88.623,89.607,76.828,381.211
1678.5,65.058,9.666,10.429,2.5,86.852,88.76,76.312,380.732
1678.625,65.017,9.719,10.723,2.483,86.693,87.076,74.852,380.015
1678.75,64.921,9.836,10.804,2.46,87.062,84.795,72.817,379.166
1678.875,64.704,10.108,10.476,2.422,86.344,80.745,69.179,377.848
1679.0,64.567,10.237,10.198,2.397,84.364,78.144,66.822,377.236
1679.125,64.562,10.113,10.262,2.39,83.035,77.521,66.234,377.53
1679.25,64.69,9.76,10.689,2.404,85.158,79.466,68.125,378.601
1679.375,64.826,9.495,11.116,2.432,89.582,82.451,71.303,379.81
1679.5,65.048,9.067,12.012,2.504,99.897,86.124,76.407,381.703
1679.625,65.156,8.885,12.481,2.538,107.063,84.61,76.195,382.092
1679.75,65.352,8.787,13.212,2.559,118.998,78.585,71.874,381.7
1679.875,65.647,8.827,14.2,2.56,129.955,71.363,65.954,380.863
1680.0,65.939,8.937,15.259,2.552,133.373,66.71,61.761,380.316
1680.125,66.458,9.114,16.682,2.548,125.91,61.495,56.738,380.059
1680.25,66.607,9.222,16.388,2.544,117.081,60.133,55.348,380.235
1680.375,66.605,9.384,15.332,2.528,107.294,59.574,54.727,380.414
1680.5,66.253,9.763,12.783,2.454,91.942,60.124,54.976,380.75
1680.625,65.951,9.853,11.673,2.411,87.282,61.522,56.015,381.032
1680.75,65.522,9.694,10.695,2.389,86.818,65.314,59.174,381.38
1680.875,65.139,9.406,9.979,2.409,89.6,70.346,63.624,381.555
1681.0,64.889,9.218,9.556,2.452,92.292,74.482,67.549,381.588
1681.125,64.484,9.146,9.079,2.51,94.442,79.924,73.293,381.454
1681.25,64.282,9.183,9.064,2.509,94.613,80.942,74.701,381.159
1681.375,64.061,9.237,9.411,2.483,94.521,80.198,74.42,380.958
